population,pc,pm,sel,cros,ss,best_fit,final_diversity,final_exploration,final_exploitation,runtime
50,0.95,0.025,tournament,multi_points,False,-0.5918486037148223,0.7695620832673512,35.761930455275106,64.2380695447249,98.01728590007406
200,0.75,0.05,tournament,arithmetic,False,-0.5919595748737533,0.5365878888790439,27.21405778770561,72.78594221229439,382.34995999990497
50,0.75,0.05,tournament,one_point,False,-0.5919671230068035,0.9001757875641069,41.635064411828914,58.364935588171086,98.62182369991206
50,0.75,0.025,tournament,uniform,False,-0.5920274027089857,0.0190343322943079,0.8845737225005763,99.11542627749942,94.18040150008164
50,0.75,0.05,tournament,uniform,False,-0.5920299180865436,0.0612568763554669,2.8824403222056887,97.1175596777943,99.30394760041963
200,0.95,0.25,tournament,uniform,False,-0.5920862709811507,2.0546958160320807,92.66869438170728,7.331305618292731,406.1827111999737
200,0.75,0.025,tournament,arithmetic,False,-0.5923140114903779,0.3136821885249485,16.961852952674622,83.03814704732538,396.3264711002121
200,0.75,0.25,tournament,one_point,False,-0.59231654792947,2.038847020965961,91.75445705047804,8.245542949521962,402.4145238001365
50,0.95,0.025,tournament,multi_points,False,-0.592329380552787,0.5423278419254502,25.2447030736046,74.7552969263954,96.78893730032723
50,0.75,0.25,tournament,uniform,False,-0.5923784362314068,0.0537950596850127,2.521784935282536,97.47821506471746,101.53404489986131
50,0.75,0.025,tournament,one_point,False,-0.5924166934434055,0.5865556017622192,27.666813446647748,72.33318655335225,95.39834440045524
200,0.95,0.25,tournament,uniform,False,-0.5924223993734213,2.1099441997609376,94.50322479884214,5.49677520115786,401.9524218002334
200,0.75,0.05,tournament,arithmetic,False,-0.5924633743561252,0.6229340722103659,34.347166661003456,65.65283333899654,406.7403397001326
50,0.95,0.05,tournament,multi_points,False,-0.5924707132730795,1.0794285781183146,49.798212946396816,50.201787053603184,97.23257060023025
200,0.75,0.25,tournament,uniform,False,-0.5925331880130719,2.124223327702419,94.78383318813523,5.216166811864753,382.7632976003224
50,0.75,0.25,tournament,uniform,False,-0.5926577183681823,0.0607486281609822,2.894246559073732,97.10575344092626,95.57084730034694
50,0.95,0.025,tournament,one_point,False,-0.5926862697456925,0.6555577168540038,30.80514170894425,69.19485829105574,99.26982470054644
50,0.75,0.05,tournament,multi_points,False,-0.5927137965589627,0.9918408691834434,46.21345926030568,53.78654073969432,105.69666549982504
50,0.75,0.025,tournament,uniform,False,-0.5927152736060277,0.0458418176967758,2.155604609977316,97.84439539002268,94.24130120011978
200,0.75,0.25,tournament,multi_points,False,-0.5927419838409573,2.0358023217555425,90.92541165313098,9.07458834686902,402.1520630996674
50,0.95,0.05,tournament,multi_points,False,-0.592796822141197,1.047222419046085,50.005098661295776,49.994901338704224,101.3352408001665
50,0.75,0.025,tournament,multi_points,False,-0.5928156061766742,0.6541077250165793,30.480009141976065,69.51999085802393,95.14414090011267
200,0.75,0.25,tournament,uniform,False,-0.5928221902248446,2.164204873265098,97.22997256210265,2.770027437897369,386.0785839998862
200,0.75,0.05,tournament,multi_points,False,-0.5928391936152259,0.0147043741929726,0.6844162706124702,99.31558372938753,385.47051619936246
200,0.95,0.05,tournament,one_point,False,-0.5928395628552747,0.0046788549285946,0.2154725180633614,99.78452748193664,404.69292080041487
200,0.95,0.25,tournament,multi_points,False,-0.5928447617917889,2.07013952190543,93.48517973199806,6.514820268001941,406.0558472003322
50,0.95,0.05,tournament,one_point,False,-0.592846544469886,1.139134653568092,52.38340841193023,47.61659158806977,98.07864870049524
200,0.95,0.05,tournament,multi_points,False,-0.5928727332871105,0.0114340273702973,0.5254467585775635,99.47455324142244,397.8007322999183
200,0.75,0.25,tournament,one_point,False,-0.5929569154975759,2.0818152027353194,93.02247847302974,6.977521526970264,395.38512149988674
50,0.75,0.05,tournament,multi_points,False,-0.5929574253310598,0.8578079605577195,39.804910650521016,60.19508934947898,99.62427270028276
200,0.95,0.25,tournament,one_point,False,-0.5929929314327845,0.0081739837127481,0.3764612518631385,99.62353874813688,409.0368840001756
200,0.95,0.05,tournament,arithmetic,False,-0.5930009355393915,0.5932853157638855,32.697998620772935,67.30200137922706,399.27216510043945
200,0.95,0.25,tournament,one_point,False,-0.5930121358850696,0.0089905109635601,0.4139063566061059,99.5860936433939,410.2145744001027
200,0.95,0.025,tournament,arithmetic,False,-0.5930613520972601,0.3339406714729123,19.40344984944521,80.59655015055479,414.0505640000338
200,0.95,0.05,tournament,arithmetic,False,-0.593063682499497,0.5722033282829737,32.24667025000614,67.75332974999387,384.6295853998745
200,0.95,0.025,tournament,multi_points,False,-0.5930650380398375,0.0172699999227708,0.8021766863243407,99.19782331367566,403.8500427997205
200,0.75,0.25,tournament,multi_points,False,-0.5931087817864904,0.0284651900865861,1.3158033667953486,98.68419663320464,387.9583452997031
200,0.75,0.025,tournament,multi_points,False,-0.5931117129393868,0.0150912402941682,0.6927774387331784,99.30722256126684,400.42645529983565
200,0.95,0.025,tournament,multi_points,False,-0.5931312225938388,0.0066842435037232,0.3075523232702282,99.69244767672976,401.4379766997881
200,0.75,0.025,tournament,multi_points,False,-0.5932017419854241,0.0114574473015021,0.5327183089575247,99.46728169104249,375.7911779995775
200,0.95,0.05,tournament,multi_points,False,-0.5932207536768261,0.0084263209780907,0.3870305898776147,99.6129694101224,399.4379355001729
200,0.95,0.25,tournament,one_point,False,-0.5932462678137669,2.131690608646506,95.65360359699208,4.346396403007915,409.4302800000878
50,0.75,0.025,tournament,one_point,False,-0.5932497016300884,0.7178508484781488,33.45606204983157,66.54393795016843,102.93394790007731
200,0.95,0.25,tournament,one_point,False,-0.5933868093310173,2.08420671240878,93.15381315713395,6.846186842866047,407.2925420001848
200,0.95,0.25,tournament,multi_points,False,-0.5934092646816267,2.1016337288543707,93.77649252076571,6.223507479234286,391.8544386998983
